sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1,med1
2,56.0,6,2,1,1,0,2,6,4,1,2,CVP,2,0
1,59.0,6,2,1,1,0,4,4,3,0,2,CVP,2,0
1,38.0,6,2,1,1,0,4,4,1,0,2,CSP,1,0
2,67.0,6,2,1,1,0,8,5,3,1,2,CVP,2,0
2,34.0,6,2,1,1,0,2,1,3,3,2,CSP,2,0
2,74.0,6,2,1,1,0,8,7,3,2,2,CSP,2,0
2,65.0,6,2,1,1,0,8,5,3,1,2,CSP,2,0
2,40.0,3,2,1,1,0,2,2,4,3,2,CSP,2,0
2,34.0,2,2,1,1,0,2,6,3,1,2,CVP,2,0
1,62.0,6,2,1,1,0,4,4,2,1,2,CSP,2,0
2,35.0,6,2,4,2,0,2,7,3,2,2,SP,2,0
1,46.0,2,2,4,2,0,2,4,4,2,2,SVP,2,0
2,34.0,6,2,4,2,0,2,7,2,2,2,SP,2,0
1,37.0,6,2,4,2,0,2,5,2,3,2,SP,2,0
2,50.0,7,2,4,2,0,2,6,2,4,2,SVP,2,0
1,65.0,6,2,4,2,0,4,0,3,1,2,SP,2,0
2,59.0,6,2,4,2,0,2,2,2,2,2,SVP,2,0
2,31.0,2,2,4,2,0,2,7,2,2,2,CVP,2,0
1,45.0,3,2,1,2,0,2,2,4,2,2,FDP,2,0
2,60.0,6,2,4,2,0,2,4,4,3,2,SP,2,0
2,37.0,3,2,4,2,0,2,6,2,4,2,CVP,1,0
2,45.0,7,2,1,2,0,2,6,2,2,2,CVP,2,0
2,51.0,6,2,4,2,0,2,5,2,2,2,FDP,1,0
2,59.0,6,2,1,2,0,2,7,4,1,2,FDP,2,0
2,58.0,6,2,1,1,0,2,5,1,1,2,CSP,2,0
2,44.0,6,2,1,1,0,2,7,3,0,2,CSP,2,0
1,69.0,6,2,1,1,0,4,1,1,0,2,CVP,2,0
1,43.0,0,2,1,1,0,4,5,3,1,2,CVP,2,0
1,58.0,2,2,1,1,0,2,3,1,2,2,CVP,2,0
2,54.0,6,2,1,1,0,2,5,2,1,2,CSP,1,0
2,62.0,3,2,1,1,0,2,6,4,2,2,CVP,2,0
