sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1
0,47.0,2,2,4,2,0,2,2,2,1,1,FDP,1
1,33.0,6,2,1,2,0,2,7,3,1,1,SP,2
1,55.0,7,2,4,2,0,2,2,2,3,1,FDP,2
1,51.0,2,2,4,2,0,2,6,2,1,1,SP,2
1,63.0,6,2,1,2,0,10,4,2,1,1,SP,1
0,64.0,2,2,3,2,0,8,6,3,1,1,FDP,2
1,61.0,6,2,4,2,0,2,5,3,1,1,SP,1
1,59.0,6,2,4,2,0,2,4,3,1,1,SP,1
1,48.0,2,2,1,2,0,2,6,4,3,1,CVP,2
0,0.0,2,2,1,2,0,4,7,2,2,1,SP,2
0,75.0,6,2,1,2,0,4,5,3,0,1,SP,2
1,65.0,4,2,4,2,0,8,2,2,2,1,FDP,2
1,22.0,4,2,1,2,0,2,2,3,3,1,FDP,1
1,21.0,2,2,1,2,0,2,6,2,3,1,CVP,2
1,54.0,3,2,4,2,0,2,2,2,3,1,SVP,2
1,53.0,2,2,1,2,0,2,7,3,4,1,SP,2
1,43.0,2,2,4,2,0,2,2,4,0,1,CVP,2
1,46.0,3,2,1,2,0,2,6,4,0,1,CVP,1
0,32.0,2,2,3,2,0,2,4,1,1,1,SVP,2
0,69.0,2,2,4,2,0,8,6,3,3,1,FDP,2
1,80.0,7,2,4,2,0,8,6,3,1,1,FDP,2
1,32.0,7,2,1,2,0,2,6,4,4,1,SP,1
1,61.0,3,2,4,2,0,2,6,2,2,1,FDP,2
1,65.0,3,2,1,2,0,8,6,1,1,1,FDP,2
0,56.0,3,2,1,2,0,4,0,2,4,1,CVP,2
1,36.0,7,2,4,2,0,2,6,4,1,1,FDP,2
0,38.0,2,2,4,2,0,2,6,3,2,1,SVP,1
0,27.0,2,2,4,2,0,2,4,2,3,1,FDP,2
0,41.0,2,2,4,2,0,4,4,2,3,1,SVP,2
0,30.0,2,2,4,2,0,2,4,4,2,1,FDP,2
1,42.0,3,2,4,2,0,2,2,4,3,1,SVP,1
0,69.0,6,2,1,2,0,4,0,1,0,1,CVP,2
0,47.0,6,2,1,2,0,4,0,3,2,1,CVP,2
1,27.0,2,2,1,2,0,2,6,1,4,1,CVP,2
1,28.0,6,2,1,2,0,2,6,3,4,1,EVP,2
1,31.0,2,2,1,2,0,2,6,2,1,1,SVP,1
0,42.0,3,2,4,2,0,4,6,2,1,1,FDP,1
0,69.0,3,2,4,2,0,4,0,4,2,1,FDP,2
0,49.0,3,2,1,2,0,2,6,2,1,1,SP,1
1,39.0,3,2,4,2,0,2,6,4,2,1,CVP,2
0,26.0,2,2,4,2,0,4,6,2,3,1,FDP,2
1,70.0,6,2,1,2,0,8,7,4,4,1,SP,2
0,54.0,3,2,1,2,0,4,2,4,4,1,SP,2
